TIME_TO_INTERVAL,date,hour,Power,Radiation,ClearSkyRadiation,Radiation(SDv3)(CWB),Radiation(SDv3)(IBM),Radiation(SDv3)(OWM),Radiation(MSM),minute,pre_Power_15,pre_Radiation_15,pre_Power_30,Radiation_0,pre_Power_45,next_Radiation_15
2022-04-14 02:00:00,2022-04-14,2,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,0,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-04-14 02:15:00,2022-04-14,2,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,15,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-04-14 02:30:00,2022-04-14,2,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,30,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-04-14 02:45:00,2022-04-14,2,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,45,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-04-14 03:00:00,2022-04-14,3,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,0,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-04-14 03:15:00,2022-04-14,3,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,15,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-04-14 03:30:00,2022-04-14,3,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,30,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-04-14 03:45:00,2022-04-14,3,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,45,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-04-14 04:00:00,2022-04-14,4,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,0,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-04-14 04:15:00,2022-04-14,4,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,15,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-04-14 04:30:00,2022-04-14,4,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,30,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.0
2022-04-14 04:45:00,2022-04-14,4,0.030000000000000294,0.0,0.0,0.0,0.0,0.0,0.0,45,0.030000000000000294,0.0,0.030000000000000294,0.0,0.030000000000000294,0.00934068989621386
2022-04-14 05:00:00,2022-04-14,5,0.030000000000000294,0.0027777777777777783,0.00091885291873268,0.00934068989621386,0.0072649810303885565,0.0072649810303885565,0.0,0,0.030000000000000294,0.0,0.030000000000000294,0.00934068989621386,0.030000000000000294,0.00934068989621386
2022-04-14 05:15:00,2022-04-14,5,0.030000000000000294,0.0027777777777777783,0.00091885291873268,0.00934068989621386,0.0072649810303885565,0.0072649810303885565,0.0,15,0.030000000000000294,0.00934068989621386,0.030000000000000294,0.00934068989621386,0.030000000000000294,0.00934068989621386
2022-04-14 05:30:00,2022-04-14,5,0.030000000000000294,0.0027777777777777783,0.00091885291873268,0.00934068989621386,0.0072649810303885565,0.0072649810303885565,0.0,30,0.030000000000000294,0.00934068989621386,0.030000000000000294,0.00934068989621386,0.030000000000000294,0.00934068989621386
2022-04-14 05:45:00,2022-04-14,5,0.02986666666666696,0.0027777777777777783,0.00091885291873268,0.00934068989621386,0.0072649810303885565,0.0072649810303885565,0.0,45,0.030000000000000294,0.00934068989621386,0.030000000000000294,0.00934068989621386,0.030000000000000294,0.07245816230933916
2022-04-14 06:00:00,2022-04-14,6,0.030188888888889175,0.07777777777777778,0.10017369659788876,0.07245816230933916,0.023465140391643737,0.07106627667021623,0.12165,0,0.02986666666666696,0.00934068989621386,0.030000000000000294,0.07245816230933916,0.030000000000000294,0.07245816230933916
2022-04-14 06:15:00,2022-04-14,6,0.22789999999999955,0.07777777777777778,0.10017369659788876,0.07245816230933916,0.023465140391643737,0.07106627667021623,0.12165,15,0.030188888888889175,0.07245816230933916,0.02986666666666696,0.07245816230933916,0.030000000000000294,0.07245816230933916
2022-04-14 06:30:00,2022-04-14,6,0.7641666666666622,0.07777777777777778,0.10017369659788876,0.07245816230933916,0.023465140391643737,0.07106627667021623,0.12165,30,0.22789999999999955,0.07245816230933916,0.030188888888889175,0.07245816230933916,0.02986666666666696,0.07245816230933916
2022-04-14 06:45:00,2022-04-14,6,0.9267888888888894,0.07777777777777778,0.10017369659788876,0.07245816230933916,0.023465140391643737,0.07106627667021623,0.12165,45,0.7641666666666622,0.07245816230933916,0.22789999999999955,0.07245816230933916,0.030188888888889175,0.1537302057918901
2022-04-14 07:00:00,2022-04-14,7,1.371799999999997,0.2611111111111111,0.3321001377338612,0.1537302057918901,0.09543291545961748,0.19593473909830345,0.20276,0,0.9267888888888894,0.07245816230933916,0.7641666666666622,0.1537302057918901,0.22789999999999955,0.1537302057918901
2022-04-14 07:15:00,2022-04-14,7,2.3219222222222298,0.2611111111111111,0.3321001377338612,0.1537302057918901,0.09543291545961748,0.19593473909830345,0.20276,15,1.371799999999997,0.1537302057918901,0.9267888888888894,0.1537302057918901,0.7641666666666622,0.1537302057918901
2022-04-14 07:30:00,2022-04-14,7,3.1163777777777684,0.2611111111111111,0.3321001377338612,0.1537302057918901,0.09543291545961748,0.19593473909830345,0.20276,30,2.3219222222222298,0.1537302057918901,1.371799999999997,0.1537302057918901,0.9267888888888894,0.1537302057918901
2022-04-14 07:45:00,2022-04-14,7,3.2484666666666824,0.2611111111111111,0.3321001377338612,0.1537302057918901,0.09543291545961748,0.19593473909830345,0.20276,45,3.1163777777777684,0.1537302057918901,2.3219222222222298,0.1537302057918901,1.371799999999997,0.28198804267036004
2022-04-14 08:00:00,2022-04-14,8,4.363022222222226,0.4083333333333333,0.5617743500018925,0.28198804267036004,0.1988468116182032,0.342362610864318,0.5474399999999999,0,3.2484666666666824,0.1537302057918901,3.1163777777777684,0.28198804267036004,2.3219222222222298,0.28198804267036004
2022-04-14 08:15:00,2022-04-14,8,3.620011111111108,0.4083333333333333,0.5617743500018925,0.28198804267036004,0.1988468116182032,0.342362610864318,0.5474399999999999,15,4.363022222222226,0.28198804267036004,3.2484666666666824,0.28198804267036004,3.1163777777777684,0.28198804267036004
2022-04-14 08:30:00,2022-04-14,8,2.407933333333328,0.4083333333333333,0.5617743500018925,0.28198804267036004,0.1988468116182032,0.342362610864318,0.5474399999999999,30,3.620011111111108,0.28198804267036004,4.363022222222226,0.28198804267036004,3.2484666666666824,0.28198804267036004
2022-04-14 08:45:00,2022-04-14,8,2.8744444444444484,0.4083333333333333,0.5617743500018925,0.28198804267036004,0.1988468116182032,0.342362610864318,0.5474399999999999,45,2.407933333333328,0.28198804267036004,3.620011111111108,0.28198804267036004,4.363022222222226,0.4831463822188458
2022-04-14 09:00:00,2022-04-14,9,2.6398555555555547,0.5305555555555556,0.7533821831296595,0.4831463822188458,0.6996165703203592,0.5171657936533308,0.78669,0,2.8744444444444484,0.28198804267036004,2.407933333333328,0.4831463822188458,3.620011111111108,0.4831463822188458
2022-04-14 09:15:00,2022-04-14,9,3.82295555555558,0.5305555555555556,0.7533821831296595,0.4831463822188458,0.6996165703203592,0.5171657936533308,0.78669,15,2.6398555555555547,0.4831463822188458,2.8744444444444484,0.4831463822188458,2.407933333333328,0.4831463822188458
2022-04-14 09:30:00,2022-04-14,9,4.808900000000009,0.5305555555555556,0.7533821831296595,0.4831463822188458,0.6996165703203592,0.5171657936533308,0.78669,30,3.82295555555558,0.4831463822188458,2.6398555555555547,0.4831463822188458,2.8744444444444484,0.4831463822188458
2022-04-14 09:45:00,2022-04-14,9,5.129044444444447,0.5305555555555556,0.7533821831296595,0.4831463822188458,0.6996165703203592,0.5171657936533308,0.78669,45,4.808900000000009,0.4831463822188458,3.82295555555558,0.4831463822188458,2.6398555555555547,0.6039034376274525
2022-04-14 10:00:00,2022-04-14,10,5.5102555555555774,0.4361111111111111,0.8901367850764674,0.6039034376274525,0.8311247789507443,0.647748722734663,0.92051,0,5.129044444444447,0.4831463822188458,4.808900000000009,0.6039034376274525,3.82295555555558,0.6039034376274525
2022-04-14 10:15:00,2022-04-14,10,4.494977777777787,0.4361111111111111,0.8901367850764674,0.6039034376274525,0.8311247789507443,0.647748722734663,0.92051,15,5.5102555555555774,0.6039034376274525,5.129044444444447,0.6039034376274525,4.808900000000009,0.6039034376274525
2022-04-14 10:30:00,2022-04-14,10,2.51459999999998,0.4361111111111111,0.8901367850764674,0.6039034376274525,0.8311247789507443,0.647748722734663,0.92051,30,4.494977777777787,0.6039034376274525,5.5102555555555774,0.6039034376274525,5.129044444444447,0.6039034376274525
2022-04-14 10:45:00,2022-04-14,10,6.299133333333327,0.4361111111111111,0.8901367850764674,0.6039034376274525,0.8311247789507443,0.647748722734663,0.92051,45,2.51459999999998,0.6039034376274525,4.494977777777787,0.6039034376274525,5.5102555555555774,0.7305502082986414
2022-04-14 11:00:00,2022-04-14,11,6.231933333333329,0.7416666666666666,0.9615541440251528,0.7305502082986414,0.9048118023643044,0.7246794732293375,0.58394,0,6.299133333333327,0.6039034376274525,2.51459999999998,0.7305502082986414,4.494977777777787,0.7305502082986414
2022-04-14 11:15:00,2022-04-14,11,6.895966666666664,0.7416666666666666,0.9615541440251528,0.7305502082986414,0.9048118023643044,0.7246794732293375,0.58394,15,6.231933333333329,0.7305502082986414,6.299133333333327,0.7305502082986414,2.51459999999998,0.7305502082986414
2022-04-14 11:30:00,2022-04-14,11,7.313344444444437,0.7416666666666666,0.9615541440251528,0.7305502082986414,0.9048118023643044,0.7246794732293375,0.58394,30,6.895966666666664,0.7305502082986414,6.231933333333329,0.7305502082986414,6.299133333333327,0.7305502082986414
2022-04-14 11:45:00,2022-04-14,11,8.049111111111106,0.7416666666666666,0.9615541440251528,0.7305502082986414,0.9048118023643044,0.7246794732293375,0.58394,45,7.313344444444437,0.7305502082986414,6.895966666666664,0.7305502082986414,6.231933333333329,0.6513033551328113
2022-04-14 12:00:00,2022-04-14,12,7.6528999999999865,0.9777777777777776,0.9623836825229208,0.6513033551328113,0.788277684677532,0.7096456461643471,0.12571,0,8.049111111111106,0.7305502082986414,7.313344444444437,0.6513033551328113,6.895966666666664,0.6513033551328113
2022-04-14 12:15:00,2022-04-14,12,7.695566666666648,0.9777777777777776,0.9623836825229208,0.6513033551328113,0.788277684677532,0.7096456461643471,0.12571,15,7.6528999999999865,0.6513033551328113,8.049111111111106,0.6513033551328113,7.313344444444437,0.6513033551328113
2022-04-14 12:30:00,2022-04-14,12,7.568955555555572,0.9777777777777776,0.9623836825229208,0.6513033551328113,0.788277684677532,0.7096456461643471,0.12571,30,7.695566666666648,0.6513033551328113,7.6528999999999865,0.6513033551328113,8.049111111111106,0.6513033551328113
2022-04-14 12:45:00,2022-04-14,12,7.476411111111072,0.9777777777777776,0.9623836825229208,0.6513033551328113,0.788277684677532,0.7096456461643471,0.12571,45,7.568955555555572,0.6513033551328113,7.695566666666648,0.6513033551328113,7.6528999999999865,0.6261298213698173
