TIME_TO_INTERVAL,date,hour,Power,Radiation,ClearSkyRadiation,Radiation(SDv3)(CWB),Radiation(SDv3)(TWC),Radiation(SDv3)(OWM),Radiation(SDv3)(MSM),Radiation(today)(CWB),Radiation(today)(IBM),Radiation(today)(OWM),minute,pre_Power_15,pre_Radiation_15,pre_Power_30,Radiation_0,pre_Power_45,next_Radiation_15
2022-08-23 03:45:00,2022-08-23,3,0.029766666666666938,0.0,0.0,0.0,0.0,0.0,0.00396,0.0,0.0,0.0,45,0.02975555555555583,0.0,0.029688888888889143,0.0,0.02952222222222247,0.0
2022-08-23 04:00:00,2022-08-23,4,0.02986666666666696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.029766666666666938,0.0,0.02975555555555583,0.0,0.029688888888889143,0.0
2022-08-23 04:15:00,2022-08-23,4,0.02992222222222252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.02986666666666696,0.0,0.029766666666666938,0.0,0.02975555555555583,0.0
2022-08-23 04:30:00,2022-08-23,4,0.029966666666666964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.02992222222222252,0.0,0.02986666666666696,0.0,0.029766666666666938,0.0
2022-08-23 04:45:00,2022-08-23,4,0.029855555555555836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.029966666666666964,0.0,0.02992222222222252,0.0,0.02986666666666696,0.0032008789084441197
2022-08-23 05:00:00,2022-08-23,5,0.028000000000000042,0.0027777777777777783,0.000890423,0.0032008789084441197,0.0029056113255703985,0.0038312542568394226,0.0,0.0032008789084441197,0.0029056113255703985,0.0038312542568394226,0,0.029855555555555836,0.0,0.029966666666666964,0.0032008789084441197,0.02992222222222252,0.0032008789084441197
2022-08-23 05:15:00,2022-08-23,5,0.025733333333333303,0.0027777777777777783,0.000890423,0.0032008789084441197,0.0029056113255703985,0.0038312542568394226,0.0,0.0032008789084441197,0.0029056113255703985,0.0038312542568394226,15,0.028000000000000042,0.0032008789084441197,0.029855555555555836,0.0032008789084441197,0.029966666666666964,0.0032008789084441197
2022-08-23 05:30:00,2022-08-23,5,0.02563333333333325,0.0027777777777777783,0.000890423,0.0032008789084441197,0.0029056113255703985,0.0038312542568394226,0.0,0.0032008789084441197,0.0029056113255703985,0.0038312542568394226,30,0.025733333333333303,0.0032008789084441197,0.028000000000000042,0.0032008789084441197,0.029855555555555836,0.0032008789084441197
2022-08-23 05:45:00,2022-08-23,5,0.022111111111110783,0.0027777777777777783,0.000890423,0.0032008789084441197,0.0029056113255703985,0.0038312542568394226,0.0,0.0032008789084441197,0.0029056113255703985,0.0038312542568394226,45,0.02563333333333325,0.0032008789084441197,0.025733333333333303,0.0032008789084441197,0.028000000000000042,0.09127958767373394
2022-08-23 06:00:00,2022-08-23,6,0.021277777777777455,0.06666666666666668,0.09268802400000001,0.09127958767373394,0.08794282966324735,0.09474510558031556,0.12278,0.09127958767373394,0.08794282966324735,0.09474510558031556,0,0.022111111111110783,0.0032008789084441197,0.02563333333333325,0.09127958767373394,0.025733333333333303,0.09127958767373394
2022-08-23 06:15:00,2022-08-23,6,0.021822222222221896,0.06666666666666668,0.09268802400000001,0.09127958767373394,0.08794282966324735,0.09474510558031556,0.12278,0.09127958767373394,0.08794282966324735,0.09474510558031556,15,0.021277777777777455,0.09127958767373394,0.022111111111110783,0.09127958767373394,0.02563333333333325,0.09127958767373394
2022-08-23 06:30:00,2022-08-23,6,0.4861333333333319,0.06666666666666668,0.09268802400000001,0.09127958767373394,0.08794282966324735,0.09474510558031556,0.12278,0.09127958767373394,0.08794282966324735,0.09474510558031556,30,0.021822222222221896,0.09127958767373394,0.021277777777777455,0.09127958767373394,0.022111111111110783,0.09127958767373394
2022-08-23 06:45:00,2022-08-23,6,1.1735000000000049,0.06666666666666668,0.09268802400000001,0.09127958767373394,0.08794282966324735,0.09474510558031556,0.12278,0.09127958767373394,0.08794282966324735,0.09474510558031556,45,0.4861333333333319,0.09127958767373394,0.021822222222221896,0.09127958767373394,0.021277777777777455,0.2810948110328059
2022-08-23 07:00:00,2022-08-23,7,2.114511111111105,0.3111111111111111,0.313592196,0.2810948110328059,0.2707585906479856,0.2894115751475758,0.12674000000000002,0.2810948110328059,0.2707585906479856,0.2894115751475758,0,1.1735000000000049,0.09127958767373394,0.4861333333333319,0.2810948110328059,0.021822222222221896,0.2810948110328059
2022-08-23 07:15:00,2022-08-23,7,2.454255555555563,0.3111111111111111,0.313592196,0.2810948110328059,0.2707585906479856,0.2894115751475758,0.12674000000000002,0.2810948110328059,0.2707585906479856,0.2894115751475758,15,2.114511111111105,0.2810948110328059,1.1735000000000049,0.2810948110328059,0.4861333333333319,0.2810948110328059
2022-08-23 07:30:00,2022-08-23,7,2.406411111111109,0.3111111111111111,0.313592196,0.2810948110328059,0.2707585906479856,0.2894115751475758,0.12674000000000002,0.2810948110328059,0.2707585906479856,0.2894115751475758,30,2.454255555555563,0.2810948110328059,2.114511111111105,0.2810948110328059,1.1735000000000049,0.2810948110328059
