,Date,Hour,Current,Frequency,Voltage,kP,kQ,TIME_TO_INTERVAL
1941,2022-06-20,14,9.219683333333334,59.98305277777771,224.3210972222219,6.135597222222282,0.8979444444444401,2022-06-20 14:00:00
1942,2022-06-20,15,7.399258333333328,59.93331388888886,223.44936388888937,4.895066666666661,0.7869472222222099,2022-06-20 15:00:00
1943,2022-06-20,16,4.485102777777744,59.95047499999989,226.00487777777812,3.005088888888904,0.44182499999996677,2022-06-20 16:00:00
1944,2022-06-20,17,1.7206500000000051,59.995108333333356,224.7129611111111,1.1274222222222259,0.24675833333334032,2022-06-20 17:00:00
1945,2022-06-20,18,0.675938888888892,59.94484444444451,224.9749083333334,0.1207444444444321,0.4109333333333207,2022-06-20 18:00:00
1946,2022-06-20,19,0.7725153203342835,60.01455153203337,226.07884122562604,0.029710306406686142,0.5235543175487282,2022-06-20 19:00:00
1947,2022-06-20,20,0.7617027777778095,60.016452777777864,222.9004777777776,0.029913888888889805,0.5086999999999953,2022-06-20 20:00:00
1948,2022-06-20,21,0.7689000000000002,60.04278055555557,224.4142416666669,0.030000000000000925,0.5171222222222078,2022-06-20 21:00:00
1949,2022-06-20,22,0.7743083333333506,59.9303861111109,226.19160833333342,0.030000000000000925,0.5249138888888694,2022-06-20 22:00:00
1950,2022-06-20,23,0.7766666666666868,59.9852027777779,226.76585555555593,0.030000000000000925,0.5275138888888677,2022-06-20 23:00:00
1951,2022-06-21,0,0.7783527777778114,60.00471111111117,226.71708611111103,0.030000000000000925,0.5285888888888668,2022-06-21 00:00:00
1952,2022-06-21,1,0.7807861111111438,60.00022222222237,226.9434027777772,0.02998611111111203,0.5305083333333095,2022-06-21 01:00:00
1953,2022-06-21,2,0.7726055555555472,60.01918888888888,224.13148888888898,0.025622222222222595,0.5176499999999916,2022-06-21 02:00:00
1954,2022-06-21,3,0.7702222222222108,60.03926666666659,223.89593888888862,0.0278111111111119,0.5168583333333192,2022-06-21 03:00:00
1955,2022-06-21,4,0.7749138888889052,60.07951388888883,224.85229722222243,0.029802777777778667,0.5213222222222059,2022-06-21 04:00:00
1956,2022-06-21,5,0.7779138888889071,60.028822222222416,224.95008055555564,0.025574999999999754,0.5235861111110935,2022-06-21 05:00:00
1957,2022-06-21,6,1.7979861111110986,60.02573888888888,224.07800833333343,0.9370277777777766,0.41890833333330313,2022-06-21 06:00:00
1958,2022-06-21,7,6.78324999999998,59.99871388888887,223.22223611111121,4.5037833333333355,0.571041666666672,2022-06-21 07:00:00
1959,2022-06-21,8,6.519444444444455,59.95849166666662,224.7576583333336,4.346872222222221,0.5994194444444346,2022-06-21 08:00:00
1960,2022-06-21,9,7.8059999999999885,60.034386111111274,224.0977722222222,5.1817777777777865,0.7655888888888898,2022-06-21 09:00:00
1961,2022-06-21,10,7.298416666666656,60.01036944444449,223.36501944444475,4.841216666666672,0.6992888888888866,2022-06-21 10:00:00
1962,2022-06-21,11,7.841488888888885,59.96473611111091,225.5498694444452,5.257905555555571,0.722761111111116,2022-06-21 11:00:00
1963,2022-06-21,12,9.92503055555556,60.025038888889036,224.75515277777833,6.62824722222222,0.9026666666666664,2022-06-21 12:00:00
1964,2022-06-21,13,9.243686111111082,60.05010833333353,223.32158055555558,6.125455555555558,0.8855749999999986,2022-06-21 13:00:00
1965,2022-06-21,14,8.39885277777781,59.99817777777793,223.69076111111113,5.576133333333334,0.840380555555569,2022-06-21 14:00:00
1966,2022-06-21,15,6.734647222222211,60.021094444444486,225.6371805555558,4.5196749999999986,0.5815361111110836,2022-06-21 15:00:00
1967,2022-06-21,16,4.3256027777778,60.00065555555562,225.214597222222,2.9007333333333394,0.39057500000000095,2022-06-21 16:00:00
1968,2022-06-21,17,1.0172587655751966,59.9932570269488,225.23155896841524,0.6373659808750942,0.24048391770500055,2022-06-21 17:00:00
1969,2022-06-21,18,0.6872944444444344,59.95561666666684,224.92770277777797,0.18059444444443412,0.3888999999999933,2022-06-21 18:00:00
1970,2022-06-21,19,0.7730416666666908,59.98128888888903,225.2029222222216,0.02895555555555642,0.5217749999999822,2022-06-21 19:00:00
1971,2022-06-21,20,0.7767305555555915,59.98333888888894,226.45215555555595,0.029933333333334262,0.5264416666666462,2022-06-21 20:00:00
1972,2022-06-21,21,0.7764805555555357,59.99282499999992,226.95320277777725,0.030000000000000925,0.5286583333333141,2022-06-21 21:00:00
1973,2022-06-21,22,0.7728861111111366,59.96022777777789,225.54992777777863,0.029972222222223132,0.5221361111110933,2022-06-21 22:00:00
1974,2022-06-21,23,0.7780750000000303,59.952813888888905,226.27996388888866,0.02998055555555648,0.5271333333333121,2022-06-21 23:00:00
1975,2022-06-22,0,0.7795722222222528,59.933638888888794,225.95531388888946,0.029863888888889745,0.5281388888888672,2022-06-22 00:00:00
1976,2022-06-22,1,0.7796666666667023,59.982372222222054,226.5053888888889,0.029855555555556464,0.5293444444444215,2022-06-22 01:00:00
1977,2022-06-22,2,0.7782583333333473,60.04462777777775,226.20702500000044,0.029630555555556364,0.5265444444444242,2022-06-22 02:00:00
1978,2022-06-22,3,0.7780333333333491,60.07891944444464,225.68779444444436,0.0298472222222231,0.5269555555555344,2022-06-22 03:00:00
1979,2022-06-22,4,0.7726861111111241,60.04953333333338,224.62097222222192,0.02941111111111202,0.5201361111110959,2022-06-22 04:00:00
1980,2022-06-22,5,0.7827111111111148,60.019944444444334,224.71769444444524,0.05096388888888956,0.5114888888888719,2022-06-22 05:00:00
1981,2022-06-22,6,1.9027805555555521,60.020233333333486,223.51593055555628,1.2245277777777817,0.294563888888872,2022-06-22 06:00:00
1982,2022-06-22,7,5.066838888888896,60.016019444444495,223.45146111111066,3.374436111111129,0.3961361111111196,2022-06-22 07:00:00
1983,2022-06-22,8,7.329613888888878,60.00561944444452,225.8433888888886,4.918883333333293,0.61999166666664,2022-06-22 08:00:00
1984,2022-06-22,9,9.031269444444439,60.04917222222225,224.73243055555534,6.02840555555559,0.8451277777777799,2022-06-22 09:00:00
1985,2022-06-22,10,9.408474999999973,59.98926111111116,222.89435000000037,6.225086111111124,0.8437055555555614,2022-06-22 10:00:00
1986,2022-06-22,11,9.352972222222238,59.975913888888826,224.6501833333333,6.25100000000002,0.8334027777777757,2022-06-22 11:00:00
1987,2022-06-22,12,9.526786111111123,60.006088888888996,224.18466944444503,6.356669444444438,0.8212777777777772,2022-06-22 12:00:00
1988,2022-06-22,13,9.048975000000024,59.950494444444566,224.72645833333357,6.051402777777802,0.7604194444444419,2022-06-22 13:00:00
1989,2022-06-22,14,9.6826464026771,59.95373675404327,226.1683100948138,6.509567763524839,0.873566648075839,2022-06-22 14:00:00
1990,2022-06-22,15,4.208847222222239,60.00352499999984,225.74895277777804,2.8359722222222152,0.3758638888888961,2022-06-22 15:00:00
1991,2022-06-22,16,0.881222222222234,59.962066666666644,225.05717222222208,0.5252805555555713,0.2697861111111,2022-06-22 16:00:00
1992,2022-06-22,17,0.935436111111143,60.070791666666835,224.1692805555549,0.5604361111110967,0.28338888888886365,2022-06-22 17:00:00
