index,expDate,model,domain,level,variable,lat,lng,obsDay,fHour,data,TIME_TO_INTERVAL,hour,date,Date,ForecastBeforeDays
2021042119,2021-04-22,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,0.0,2021-04-21 19:0:00,19,2021-04-21,2021-04-21,-1 days
2021042120,2021-04-22,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,0.0,2021-04-21 20:0:00,20,2021-04-21,2021-04-21,-1 days
2021042121,2021-04-22,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,0.0,2021-04-21 21:0:00,21,2021-04-21,2021-04-21,-1 days
2021042122,2021-04-22,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,0.0,2021-04-21 22:0:00,22,2021-04-21,2021-04-21,-1 days
2021042123,2021-04-22,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,0.0,2021-04-21 23:0:00,23,2021-04-21,2021-04-21,-1 days
2021042200,2021-04-23,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,0.0,2021-04-22 00:0:00,0,2021-04-22,2021-04-22,-1 days
2021042201,2021-04-23,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,0.0,2021-04-22 01:0:00,1,2021-04-22,2021-04-22,-1 days
2021042202,2021-04-23,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,0.0,2021-04-22 02:0:00,2,2021-04-22,2021-04-22,-1 days
2021042203,2021-04-23,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,0.0,2021-04-22 03:0:00,3,2021-04-22,2021-04-22,-1 days
2021042204,2021-04-23,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,0.0,2021-04-22 04:0:00,4,2021-04-22,2021-04-22,-1 days
2021042205,2021-04-23,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,4.04,2021-04-22 05:0:00,5,2021-04-22,2021-04-22,-1 days
2021042206,2021-04-23,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,145.56,2021-04-22 06:0:00,6,2021-04-22,2021-04-22,-1 days
2021042207,2021-04-23,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,384.11,2021-04-22 07:0:00,7,2021-04-22,2021-04-22,-1 days
2021042208,2021-04-23,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,610.54,2021-04-22 08:0:00,8,2021-04-22,2021-04-22,-1 days
2021042209,2021-04-23,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,800.57,2021-04-22 09:0:00,9,2021-04-22,2021-04-22,-1 days
2021042210,2021-04-23,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,929.96,2021-04-22 10:0:00,10,2021-04-22,2021-04-22,-1 days
2021042211,2021-04-23,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,1002.74,2021-04-22 11:0:00,11,2021-04-22,2021-04-22,-1 days
2021042212,2021-04-23,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,1002.74,2021-04-22 12:0:00,12,2021-04-22,2021-04-22,-1 days
2021042213,2021-04-23,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,929.96,2021-04-22 13:0:00,13,2021-04-22,2021-04-22,-1 days
2021042214,2021-04-23,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,800.57,2021-04-22 14:0:00,14,2021-04-22,2021-04-22,-1 days
2021042215,2021-04-23,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,610.54,2021-04-22 15:0:00,15,2021-04-22,2021-04-22,-1 days
2021042216,2021-04-23,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,392.2,2021-04-22 16:0:00,16,2021-04-22,2021-04-22,-1 days
2021042217,2021-04-23,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,153.65,2021-04-22 17:0:00,17,2021-04-22,2021-04-22,-1 days
2021042218,2021-04-23,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,8.09,2021-04-22 18:0:00,18,2021-04-22,2021-04-22,-1 days
2021042219,2021-04-23,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,0.0,2021-04-22 19:0:00,19,2021-04-22,2021-04-22,-1 days
2021042220,2021-04-23,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,0.0,2021-04-22 20:0:00,20,2021-04-22,2021-04-22,-1 days
2021042221,2021-04-23,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,0.0,2021-04-22 21:0:00,21,2021-04-22,2021-04-22,-1 days
2021042222,2021-04-23,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,0.0,2021-04-22 22:0:00,22,2021-04-22,2021-04-22,-1 days
2021042223,2021-04-23,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,0.0,2021-04-22 23:0:00,23,2021-04-22,2021-04-22,-1 days
2021042300,2021-04-24,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,0.0,2021-04-23 00:0:00,0,2021-04-23,2021-04-23,-1 days
2021042301,2021-04-24,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,0.0,2021-04-23 01:0:00,1,2021-04-23,2021-04-23,-1 days
2021042302,2021-04-24,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,0.0,2021-04-23 02:0:00,2,2021-04-23,2021-04-23,-1 days
2021042303,2021-04-24,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,0.0,2021-04-23 03:0:00,3,2021-04-23,2021-04-23,-1 days
2021042304,2021-04-24,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,0.0,2021-04-23 04:0:00,4,2021-04-23,2021-04-23,-1 days
2021042305,2021-04-24,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,4.09,2021-04-23 05:0:00,5,2021-04-23,2021-04-23,-1 days
2021042306,2021-04-24,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,147.4,2021-04-23 06:0:00,6,2021-04-23,2021-04-23,-1 days
2021042307,2021-04-24,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,388.98,2021-04-23 07:0:00,7,2021-04-23,2021-04-23,-1 days
2021042308,2021-04-24,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,614.17,2021-04-23 08:0:00,8,2021-04-23,2021-04-23,-1 days
2021042309,2021-04-24,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,745.2,2021-04-23 09:0:00,9,2021-04-23,2021-04-23,-1 days
2021042310,2021-04-24,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,937.64,2021-04-23 10:0:00,10,2021-04-23,2021-04-23,-1 days
2021042311,2021-04-24,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,1027.72,2021-04-23 11:0:00,11,2021-04-23,2021-04-23,-1 days
2021042312,2021-04-24,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,1011.34,2021-04-23 12:0:00,12,2021-04-23,2021-04-23,-1 days
2021042313,2021-04-24,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,958.11,2021-04-23 13:0:00,13,2021-04-23,2021-04-23,-1 days
2021042314,2021-04-24,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,810.71,2021-04-23 14:0:00,14,2021-04-23,2021-04-23,-1 days
2021042315,2021-04-24,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,634.65,2021-04-23 15:0:00,15,2021-04-23,2021-04-23,-1 days
2021042316,2021-04-24,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,401.26,2021-04-23 16:0:00,16,2021-04-23,2021-04-23,-1 days
2021042317,2021-04-24,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,163.78,2021-04-23 17:0:00,17,2021-04-23,2021-04-23,-1 days
2021042318,2021-04-24,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,4.09,2021-04-23 18:0:00,18,2021-04-23,2021-04-23,-1 days
2021042319,2021-04-24,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,0.0,2021-04-23 19:0:00,19,2021-04-23,2021-04-23,-1 days
2021042320,2021-04-24,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,8.19,2021-04-23 20:0:00,20,2021-04-23,2021-04-23,-1 days
2021042321,2021-04-24,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,0.0,2021-04-23 21:0:00,21,2021-04-23,2021-04-23,-1 days
2021042322,2021-04-24,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,0.0,2021-04-23 22:0:00,22,2021-04-23,2021-04-23,-1 days
2021042323,2021-04-24,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,0.0,2021-04-23 23:0:00,23,2021-04-23,2021-04-23,-1 days
2021042400,2021-04-25,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,0.0,2021-04-24 00:0:00,0,2021-04-24,2021-04-24,-1 days
2021042401,2021-04-25,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,0.0,2021-04-24 01:0:00,1,2021-04-24,2021-04-24,-1 days
2021042402,2021-04-25,msm.nc.v3,,sfc,dswrf,24.066582999999998,120.560722,3,96,0.0,2021-04-24 02:0:00,2,2021-04-24,2021-04-24,-1 days
